Package,LibPath,Version,Priority,Built
abind,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4-5,NA,3.6.0
acepack,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.4.1,NA,3.6.0
adaptMCMC,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3,NA,3.6.0
agricolae,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.3-3,NA,3.6.2
airports,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1.0,NA,3.6.2
akima,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.6-2.1,NA,3.6.2
AlgDesign,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.0,NA,3.6.0
ape,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,5.4-1,NA,3.6.2
asbio,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.6-5,NA,3.6.2
askpass,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1,NA,3.6.0
assertthat,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.2.1,NA,3.6.0
backports,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.1.9,NA,3.6.2
base,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.6.3,base,3.6.3
base64enc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.1-3,NA,3.6.0
bayesplot,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.7.2,NA,3.6.2
BBmisc,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.11,NA,3.6.0
benchmarkme,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.4,NA,3.6.2
benchmarkmeData,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0.4,NA,3.6.2
BH,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.72.0-3,NA,3.6.0
BiocGenerics,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.32.0,NA,3.6.1
BiocManager,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.30.10,NA,3.6.0
BiocVersion,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,3.10.1,NA,3.6.0
bisoreg,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.5,NA,3.6.3
bit,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.0.4,NA,3.6.2
bit64,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,4.0.5,NA,3.6.2
bitops,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.0-6,NA,3.6.0
blob,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,1.2.1,NA,3.6.0
blogdown,/Library/Frameworks/R.framework/Versions/3.6/Resources/library,0.20,NA,3.6.2
